"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"完整测试：上传 -> 秒传","94","文件上传测试: 李佳鑫简历(2).pdf","testcases","2025-10-19","passed","2025-10-19","TestFileUpload","test_upload","",""
"完整测试：上传 -> 秒传","46","文件上传测试: 李佳鑫简历.pdf","testcases","2025-10-18","failed","2025-10-18","TestFileUpload","test_user","",""
"","103","test_checkCode_success","testcases","2025-10-17","broken","2025-10-17","TestUser","test_user","",""
"获取文件列表","44","test_get_file_list","testcases","2025-10-18","passed","2025-10-18","TestUser","test_user","",""
"获取文件列表，提取文件ID","30","test_get_file_list","testcases","2025-10-19","passed","2025-10-19","TestFileDownloadFlow","test_download","",""
"获取文件列表","0","test_get_file_list","testcases","2025-10-17","failed","2025-10-17","TestFileList","test_user","",""
"完整测试：上传 -> 秒传","35","文件上传测试: 李佳鑫简历.pdf","testcases","2025-10-18","failed","2025-10-18","TestFileUpload","test_upload","",""
"使用下载链接下载文件并验证","53","test_download_file","testcases","2025-10-19","passed","2025-10-19","TestFileDownloadFlow","test_download","",""
"","10","test_register_success","testcases","2025-10-17","failed","2025-10-17","TestUser","test_user","",""
"分片上传文件","23400","test_upload_file","testcases","2025-10-18","passed","2025-10-18","TestUser","test_user","",""
"","56","test_login_success","testcases","2025-10-17","broken","2025-10-17","TestUser","test_user","",""
"创建文件下载URL","135","test_create_download_url","testcases","2025-10-19","passed","2025-10-19","TestFileDownloadFlow","test_download","",""
"完整测试：上传 -> 秒传","22575","文件上传测试: 2.0.mp4","testcases","2025-10-18","failed","2025-10-18","TestFileUpload","test_user","",""
"获取文件列表","13","test_get_file_list","testcases","2025-10-19","passed","2025-10-19","TestGetInfo","test_get_info","",""
